Start:-1.0389997624e-002
Increment:4.9999998737e-005
Sequence,Volt,Volt,Volt
X,CH1,CH2,CH3
795,-2.187e-001,-6.250e-003,4.250e000
796,-2.187e-001,-6.250e-003,4.437e000
797,-2.968e-001,3.750e-002,4.250e000
798,-2.968e-001,3.125e-002,4.250e000
799,-2.031e-001,-1.875e-002,4.437e000
800,-2.968e-001,6.250e-003,4.250e000
801,-2.031e-001,8.750e-002,4.437e000
802,-2.812e-001,1.000e-001,4.250e000
803,-2.031e-001,6.250e-002,4.437e000
804,-2.812e-001,8.750e-002,4.375e000
805,-1.875e-001,5.000e-002,4.187e000
806,-1.875e-001,5.000e-002,4.375e000
807,-2.812e-001,8.750e-002,4.187e000
808,-2.656e-001,9.375e-002,4.375e000
809,-1.718e-001,5.625e-002,4.187e000
810,-2.500e-001,9.375e-002,4.187e000
811,-1.718e-001,5.000e-002,4.375e000
812,-1.718e-001,8.125e-002,4.187e000
813,-2.500e-001,3.750e-002,4.375e000
814,-1.562e-001,7.500e-002,4.187e000
815,-2.500e-001,2.500e-002,4.375e000
816,-1.562e-001,6.875e-002,4.312e000
817,-2.343e-001,6.250e-003,4.187e000
818,-1.562e-001,6.250e-002,4.312e000
819,-2.343e-001,-1.250e-002,4.125e000
820,-2.343e-001,-6.250e-003,4.312e000
821,-1.406e-001,5.000e-002,4.125e000
822,-1.406e-001,6.875e-002,4.312e000
823,-2.343e-001,-1.250e-002,4.125e000
824,-2.343e-001,-6.250e-003,4.125e000
825,-1.406e-001,1.000e-001,4.312e000
826,-2.343e-001,6.875e-002,4.125e000
827,-1.406e-001,1.062e-001,4.312e000
828,-1.406e-001,1.062e-001,4.250e000
829,-2.343e-001,6.250e-002,4.125e000
830,-2.343e-001,1.000e-001,4.250e000
831,-1.406e-001,5.000e-002,4.062e000
832,-1.562e-001,7.500e-002,4.250e000
833,-2.343e-001,1.125e-001,4.062e000
834,-1.562e-001,1.062e-001,4.250e000
835,-2.343e-001,5.625e-002,4.062e000
836,-2.343e-001,9.375e-002,4.062e000
837,-1.562e-001,4.375e-002,4.250e000
838,-1.562e-001,8.750e-002,4.062e000
839,-2.500e-001,3.125e-002,4.250e000
840,-1.562e-001,7.500e-002,4.062e000
841,-2.500e-001,1.250e-002,4.250e000
842,-2.500e-001,0.000e000,4.187e000
843,-1.562e-001,5.625e-002,4.062e000
844,-1.562e-001,0.000e000,4.187e000
845,-2.500e-001,5.625e-002,4.000e000
846,-2.500e-001,1.250e-002,4.187e000
