Start:2.5210000051e-002
Increment:5.0000003284e-006
Sequence,Volt,Volt
X,CH1,CH2
547,-4.125e-002,6.875e-002
548,-4.125e-002,5.937e-002
549,-3.374e-002,7.500e-002
550,-3.312e-002,7.500e-002
551,-4.187e-002,5.937e-002
552,-3.312e-002,6.875e-002
553,-4.187e-002,5.000e-002
554,-3.374e-002,5.000e-002
555,-4.187e-002,6.562e-002
556,-4.187e-002,5.625e-002
557,-3.437e-002,7.500e-002
558,-4.187e-002,7.500e-002
559,-3.437e-002,6.250e-002
560,-4.187e-002,6.875e-002
561,-3.437e-002,4.375e-002
562,-4.250e-002,5.312e-002
563,-3.562e-002,3.750e-002
564,-3.374e-002,4.062e-002
565,-4.250e-002,5.625e-002
566,-3.500e-002,4.687e-002
567,-4.250e-002,6.250e-002
568,-3.500e-002,6.250e-002
569,-4.250e-002,4.687e-002
570,-3.437e-002,5.312e-002
571,-4.250e-002,4.062e-002
572,-4.250e-002,4.062e-002
573,-3.500e-002,5.312e-002
574,-4.250e-002,4.687e-002
575,-3.500e-002,6.250e-002
576,-3.562e-002,6.250e-002
577,-4.375e-002,4.375e-002
578,-3.562e-002,5.000e-002
579,-4.312e-002,3.125e-002
580,-3.562e-002,3.125e-002
581,-4.312e-002,4.375e-002
582,-3.562e-002,3.750e-002
583,-4.312e-002,5.625e-002
584,-3.500e-002,5.000e-002
585,-4.375e-002,6.250e-002
586,-4.312e-002,5.937e-002
587,-3.562e-002,3.437e-002
588,-3.624e-002,4.375e-002
589,-4.437e-002,2.812e-002
590,-4.375e-002,2.812e-002
591,-3.624e-002,4.062e-002
592,-3.687e-002,3.437e-002
593,-4.437e-002,5.312e-002
594,-3.687e-002,5.312e-002
595,-4.437e-002,3.125e-002
596,-3.749e-002,3.750e-002
597,-4.500e-002,1.562e-002
598,-3.624e-002,1.562e-002
599,-4.500e-002,3.125e-002
600,-4.500e-002,2.187e-002
601,-3.749e-002,4.375e-002
602,-4.437e-002,3.437e-002
603,-3.624e-002,5.312e-002
604,-4.437e-002,5.312e-002
605,-3.749e-002,2.500e-002
606,-3.749e-002,3.125e-002
607,-4.500e-002,1.875e-002
608,-3.749e-002,1.875e-002
609,-4.562e-002,3.750e-002
610,-3.749e-002,2.812e-002
611,-4.500e-002,4.687e-002
612,-4.500e-002,5.000e-002
613,-3.749e-002,2.500e-002
614,-4.625e-002,3.125e-002
615,-3.749e-002,0.000e000
616,-3.749e-002,0.000e000
617,-4.625e-002,9.375e-003
618,-3.875e-002,3.125e-003
619,-4.687e-002,2.500e-002
620,-3.812e-002,1.562e-002
621,-4.625e-002,3.125e-002
622,-4.625e-002,2.812e-002
623,-3.812e-002,0.000e000
624,-3.875e-002,9.375e-003
625,-4.687e-002,-3.125e-003
626,-3.812e-002,0.000e000
627,-4.687e-002,2.500e-002
628,-3.875e-002,1.562e-002
629,-4.625e-002,3.437e-002
630,-4.750e-002,3.437e-002
631,-3.937e-002,6.250e-003
632,-4.625e-002,1.250e-002
633,-3.812e-002,-3.125e-003
634,-3.875e-002,0.000e000
635,-4.812e-002,1.875e-002
636,-3.937e-002,9.375e-003
637,-4.687e-002,3.125e-002
638,-3.937e-002,3.437e-002
639,-4.750e-002,1.562e-002
640,-4.750e-002,2.187e-002
641,-3.937e-002,-1.875e-002
642,-3.937e-002,-1.875e-002
643,-4.687e-002,-6.250e-003
644,-4.750e-002,-1.562e-002
645,-3.937e-002,6.250e-003
646,-3.875e-002,-3.125e-003
647,-4.812e-002,1.562e-002
648,-4.750e-002,1.562e-002
649,-3.937e-002,-9.375e-003
650,-4.000e-002,0.000e000
651,-4.687e-002,-1.250e-002
652,-4.687e-002,-6.250e-003
653,-3.812e-002,1.875e-002
654,-3.875e-002,1.250e-002
655,-4.750e-002,3.437e-002
656,-4.750e-002,3.750e-002
657,-3.937e-002,1.875e-002
658,-4.625e-002,2.500e-002
659,-3.875e-002,-1.250e-002
660,-3.875e-002,-3.125e-003
661,-4.687e-002,-1.562e-002
662,-3.875e-002,-1.250e-002
663,-4.687e-002,9.375e-003
664,-4.625e-002,0.000e000
665,-3.812e-002,1.562e-002
666,-3.812e-002,1.562e-002
667,-4.625e-002,-6.250e-003
668,-3.812e-002,-9.375e-003
669,-4.687e-002,3.125e-003
670,-4.562e-002,-3.125e-003
671,-3.812e-002,1.875e-002
672,-3.812e-002,1.250e-002
673,-4.625e-002,3.125e-002
674,-4.625e-002,3.437e-002
675,-3.749e-002,1.562e-002
676,-3.749e-002,2.187e-002
677,-4.562e-002,-1.250e-002
678,-4.562e-002,-1.562e-002
679,-3.749e-002,0.000e000
680,-4.500e-002,-9.375e-003
681,-3.624e-002,9.375e-003
682,-3.687e-002,0.000e000
683,-4.500e-002,1.250e-002
684,-4.437e-002,9.375e-003
685,-3.562e-002,-2.187e-002
686,-4.437e-002,-2.187e-002
687,-3.562e-002,-6.250e-003
688,-4.312e-002,-1.250e-002
689,-3.500e-002,1.250e-002
690,-4.312e-002,6.250e-003
691,-3.624e-002,1.875e-002
692,-4.312e-002,9.375e-003
693,-3.437e-002,2.187e-002
694,-4.250e-002,9.375e-003
695,-3.500e-002,2.812e-002
696,-3.374e-002,2.187e-002
697,-4.250e-002,4.687e-002
698,-4.062e-002,4.062e-002
699,-3.312e-002,5.625e-002
700,-4.062e-002,4.687e-002
701,-3.062e-002,5.937e-002
702,-3.812e-002,5.000e-002
703,-2.875e-002,6.562e-002
704,-3.624e-002,5.625e-002
705,-2.437e-002,7.812e-002
706,-3.062e-002,6.875e-002
707,-2.062e-002,9.062e-002
708,-2.625e-002,9.062e-002
709,-1.687e-002,6.875e-002
710,-1.687e-002,7.812e-002
711,-2.812e-002,5.937e-002
712,-2.187e-002,6.562e-002
713,-3.062e-002,5.625e-002
714,-2.500e-002,5.625e-002
715,-3.312e-002,7.500e-002
716,-3.374e-002,7.812e-002
717,-2.562e-002,6.562e-002
718,-3.374e-002,7.500e-002
719,-2.625e-002,6.562e-002
720,-2.625e-002,7.187e-002
721,-3.374e-002,6.250e-002
722,-3.312e-002,6.250e-002
723,-2.375e-002,7.812e-002
724,-3.062e-002,6.875e-002
725,-2.125e-002,8.437e-002
726,-2.750e-002,8.437e-002
727,-1.874e-002,6.875e-002
728,-2.437e-002,7.812e-002
729,-1.375e-002,6.250e-002
730,-1.874e-002,6.875e-002
731,-8.125e-003,5.937e-002
732,-1.625e-002,6.250e-002
733,-7.499e-003,7.500e-002
734,-7.499e-003,7.812e-002
735,-1.687e-002,6.562e-002
736,-1.187e-002,7.187e-002
737,-2.250e-002,5.937e-002
738,-1.687e-002,6.875e-002
739,-2.375e-002,5.625e-002
740,-2.500e-002,5.625e-002
741,-1.687e-002,6.875e-002
742,-1.687e-002,6.250e-002
743,-2.437e-002,7.500e-002
744,-2.250e-002,7.187e-002
745,-1.437e-002,5.937e-002
746,-2.000e-002,6.875e-002
747,-8.125e-003,5.625e-002
748,-1.437e-002,5.625e-002
749,0.000e000,6.562e-002
750,-5.000e-003,5.625e-002
751,1.312e-002,7.187e-002
752,8.125e-003,7.187e-002
753,2.625e-002,5.937e-002
754,1.937e-002,6.875e-002
755,2.875e-002,5.625e-002
756,2.625e-002,6.562e-002
757,1.000e-002,5.312e-002
758,1.499e-002,5.312e-002
759,-3.749e-003,6.562e-002
760,2.500e-003,6.562e-002
761,-1.125e-002,5.312e-002
762,-5.625e-003,5.937e-002
763,-1.562e-002,4.687e-002
764,-1.000e-002,5.625e-002
765,-1.937e-002,4.375e-002
766,-1.187e-002,5.312e-002
767,-1.937e-002,4.062e-002
768,-1.125e-002,4.062e-002
769,-2.000e-002,5.312e-002
770,-2.000e-002,4.375e-002
771,-1.062e-002,5.937e-002
772,-1.625e-002,5.312e-002
773,-6.875e-003,6.562e-002
774,-1.187e-002,5.312e-002
775,-1.250e-003,6.562e-002
776,-6.250e-003,5.312e-002
777,6.875e-003,6.562e-002
778,2.500e-003,5.625e-002
779,1.874e-002,7.500e-002
780,1.250e-002,6.875e-002
781,2.500e-002,8.437e-002
782,2.625e-002,8.750e-002
783,1.625e-002,7.500e-002
784,2.187e-002,8.437e-002
785,8.125e-003,6.875e-002
786,1.312e-002,7.812e-002
787,-6.250e-004,6.562e-002
788,6.250e-003,7.187e-002
789,-4.375e-003,8.750e-002
790,1.874e-003,7.812e-002
791,-5.625e-003,9.062e-002
792,-6.250e-003,8.750e-002
793,3.749e-003,7.187e-002
794,-3.125e-003,7.812e-002
795,8.125e-003,6.250e-002
796,1.874e-003,6.250e-002
797,1.937e-002,7.500e-002
798,1.437e-002,6.562e-002
799,3.562e-002,8.125e-002
800,3.062e-002,8.125e-002
801,5.812e-002,6.562e-002
802,5.374e-002,7.500e-002
803,7.437e-002,5.312e-002
